Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
2:42.37	0.078	0.079	0.077
2:42.99	0.078	0.079	0.077
2:43.61	0.078	0.079	0.077
2:44.23	0.078	0.079	0.077
2:44.85	0.078	0.079	0.077
2:45.47	0.078	0.079	0.077
2:46.09	0.078	0.079	0.077
2:46.71	0.078	0.079	0.077
2:47.33	0.078	0.079	0.077
2:47.95	0.078	0.079	0.077
2:48.57	0.078	0.079	0.077
2:49.19	0.078	0.079	0.077
2:49.81	0.078	0.079	0.077
2:50.43	0.078	0.079	0.077
2:51.05	0.078	0.079	0.077
2:51.67	0.078	0.079	0.077
2:52.29	0.078	0.079	0.077
2:52.91	0.078	0.079	0.077
2:53.53	0.078	0.079	0.077
2:54.15	0.078	0.079	0.077
2:54.77	0.078	0.079	0.077
2:55.39	0.078	0.079	0.077
2:56.01	0.078	0.079	0.077
2:56.63	0.078	0.079	0.077
2:57.25	0.078	0.079	0.077
2:57.87	0.078	0.079	0.077
2:58.49	0.078	0.079	0.077
2:59.11	0.078	0.079	0.077
2:59.73	0.078	0.079	0.077
3:00.35	0.078	0.079	0.077
3:00.97	0.078	0.079	0.077
3:01.59	0.078	0.079	0.078
3:02.21	0.078	0.079	0.077
3:02.83	0.078	0.079	0.078
3:03.45	0.078	0.079	0.077
3:04.07	0.078	0.079	0.078
3:04.69	0.078	0.079	0.078
3:05.31	0.078	0.079	0.077
3:05.93	0.078	0.079	0.077
3:06.55	0.078	0.079	0.078
3:07.17	0.078	0.079	0.078
3:07.79	0.078	0.079	0.078
3:08.41	0.078	0.079	0.078
3:09.03	0.078	0.079	0.078
3:09.65	0.078	0.079	0.078
3:10.27	0.078	0.079	0.078
3:10.89	0.078	0.079	0.078
3:11.51	0.078	0.079	0.078
3:12.13	0.078	0.079	0.078
3:12.75	0.078	0.079	0.078
3:13.37	0.078	0.079	0.078
3:13.99	0.078	0.079	0.078
3:14.61	0.078	0.079	0.078
3:15.23	0.078	0.079	0.078
3:15.85	0.078	0.079	0.078
3:16.47	0.078	0.079	0.078
3:17.09	0.078	0.079	0.078
3:17.71	0.078	0.079	0.078
3:18.33	0.078	0.079	0.078
3:18.95	0.079	0.079	0.078
3:19.57	0.078	0.079	0.078
3:20.19	0.078	0.079	0.078
3:20.81	0.079	0.079	0.078
3:21.43	0.078	0.079	0.078
3:22.05	0.079	0.079	0.078
3:22.67	0.078	0.079	0.078
3:23.29	0.079	0.079	0.078
3:23.91	0.079	0.079	0.078
3:24.53	0.079	0.079	0.078
3:25.15	0.078	0.079	0.078
3:25.77	0.079	0.079	0.078
3:26.39	0.079	0.079	0.078
3:27.01	0.079	0.079	0.078
3:27.63	0.079	0.079	0.078
3:28.25	0.079	0.079	0.078
3:28.87	0.079	0.079	0.078
3:29.49	0.079	0.079	0.078
3:30.11	0.079	0.079	0.078
3:30.73	0.079	0.079	0.078
3:31.35	0.079	0.079	0.078
3:31.97	0.079	0.079	0.078
3:32.59	0.079	0.079	0.078
3:33.21	0.079	0.079	0.078
3:33.83	0.079	0.079	0.078
3:34.45	0.079	0.079	0.078
3:35.07	0.079	0.079	0.078
3:35.69	0.079	0.079	0.078
3:36.31	0.079	0.079	0.078
3:36.93	0.079	0.080	0.078
3:37.55	0.079	0.080	0.078
3:38.17	0.079	0.080	0.078
3:38.79	0.079	0.079	0.078
3:39.41	0.079	0.080	0.078
3:40.03	0.079	0.080	0.078
3:40.65	0.079	0.080	0.078
3:41.27	0.079	0.080	0.078
3:41.89	0.079	0.080	0.078
3:42.51	0.079	0.080	0.078
3:43.13	0.079	0.080	0.078
3:43.75	0.079	0.080	0.078
3:44.37	0.079	0.080	0.078
3:44.99	0.079	0.080	0.078
3:45.61	0.079	0.080	0.078
3:46.23	0.079	0.080	0.078
3:46.85	0.079	0.080	0.078
3:47.47	0.079	0.080	0.078
3:48.09	0.079	0.080	0.078
3:48.71	0.079	0.080	0.078
3:49.33	0.079	0.080	0.078
3:49.95	0.079	0.080	0.078
3:50.57	0.079	0.080	0.078
3:51.19	0.079	0.080	0.078
3:51.81	0.079	0.080	0.078
3:52.43	0.079	0.080	0.078
3:53.05	0.079	0.080	0.078
3:53.67	0.079	0.080	0.078
3:54.29	0.079	0.080	0.078
3:54.91	0.079	0.080	0.078
3:55.53	0.079	0.080	0.078
3:56.15	0.079	0.080	0.078
3:56.77	0.079	0.080	0.078
3:57.39	0.079	0.080	0.078
3:58.01	0.079	0.080	0.078
3:58.63	0.079	0.080	0.078
3:59.25	0.079	0.080	0.078
3:59.87	0.079	0.080	0.078
4:00.49	0.079	0.080	0.078
4:01.11	0.079	0.080	0.078
4:01.73	0.079	0.080	0.078
4:02.35	0.079	0.080	0.078
4:02.97	0.079	0.080	0.078
4:03.59	0.079	0.080	0.078
4:04.21	0.079	0.080	0.078
4:04.83	0.079	0.080	0.078
4:05.45	0.079	0.080	0.078
4:06.07	0.079	0.080	0.079
4:06.69	0.079	0.080	0.078
4:07.31	0.079	0.080	0.078
4:07.93	0.079	0.080	0.079
4:08.55	0.079	0.080	0.079
4:09.17	0.079	0.080	0.079
4:09.79	0.079	0.080	0.079
4:10.41	0.079	0.080	0.079
4:11.03	0.079	0.080	0.079
4:11.65	0.079	0.080	0.079
4:12.27	0.080	0.080	0.079
4:12.89	0.079	0.080	0.079
4:13.51	0.079	0.080	0.079
4:14.13	0.079	0.080	0.079
4:14.75	0.080	0.080	0.079
4:15.37	0.080	0.080	0.079
4:15.99	0.080	0.080	0.079
4:16.61	0.080	0.080	0.079
4:17.23	0.080	0.080	0.079
4:17.85	0.079	0.080	0.079
4:18.47	0.080	0.080	0.079
4:19.09	0.080	0.080	0.079
4:19.71	0.080	0.080	0.079
4:20.33	0.080	0.080	0.079
4:20.95	0.080	0.080	0.079
4:21.57	0.080	0.080	0.079
4:22.19	0.080	0.080	0.079
4:22.81	0.080	0.080	0.079
4:23.43	0.080	0.081	0.079
4:24.05	0.080	0.080	0.079
4:24.67	0.080	0.080	0.079
4:25.29	0.080	0.080	0.079
4:25.91	0.080	0.081	0.079
4:26.53	0.080	0.080	0.079
4:27.15	0.080	0.080	0.079
4:27.77	0.080	0.081	0.079
4:28.39	0.080	0.080	0.079
4:29.01	0.080	0.081	0.079
4:29.63	0.080	0.081	0.079
4:30.25	0.080	0.081	0.079
4:30.87	0.080	0.081	0.079
4:31.49	0.080	0.081	0.079
4:32.11	0.080	0.081	0.079
